,HH Transcription,dhamma.stream transcripts,open ai whisper raw
20150310 - a1hh - Mindfulness.mp3,,,x
20150717 - a22hh - Some questions on anapanasati.mp3,,,x
20150823 - a23hh - Craving.mp3,,,x
20150909 - a2hh - Timelessness part 1.mp3,,,x
20150909 - a3hh - Timelessness part 2.mp3,,,x
20150910 - a4hh - Responding to an arisen problem.mp3,,,x
20160101 - a5hh - Authenticity.mp3,,,x
20160124 - a6hh - Significant I am.mp3,,,x
20160225 - a7hh - Establishing the mind.mp3,,,x
20160304 - a8hh - Senses and thought - Part 1.mp3,,,x
20160304 - a9hh - Senses and thought - Part 2.mp3,,,x
20160328 - a10hh - Proper attention.mp3,,,x
20160411 - a11hh - Designation.mp3,,,x
20160505 - a12hh - The holy life talk at Alugallena Cave - Part 1.mp3,,,x
20160506 - a13hh - The holy life talk at Alugallena Cave - Part 2.mp3,,,x
20160509 - a14hh - Practice of meditation talk at Lakegalla Forest.mp3,,,x
20160509 - a15hh - Wholesome and unwholesome talk at Lakegalla Forest.mp3,,,x
20160906 - a16hh - Assuming the senses.mp3,,,x
20160909 - a17hh - Discerning the mind.mp3,,,x
20160930 - a18hh - What is impermanence.mp3,,,x
20161212 - a19hh - Self and choice.mp3,,,x
20161219 - a20hh - The uncertainty of impermanence.mp3,,,x
20170112 - a44hh - QA - Part 1 - Actual and peripheral.mp3,,,x
20170112 - a45hh - QA - Part 2 - Path of understanding and authenticity.mp3,,,x
20170112 - a46hh - QA - Part 3 - Sign of the mind.mp3,,,x
20170213 - a21hh - Mindfulness of food.mp3,,,x
20170306 - a24hh - Facing existence.mp3,,,x
20170309 - a25hh - Developing the right view.mp3,,,x
20170318 - a26hh - Learning how to feel.mp3,,,x
20170328 - a27hh - The Meaning of nothingness.mp3,,,x
20170331 - a28hh - On the relationship between body and mind.mp3,,,x
20170406 - a29hh - Expanding on higher mind - MN 127.mp3,,,x
20170501 - a30hh - Seclusion from the senses - SN 22.95.mp3,,,x
20170514 - a34hh - Internal and external.mp3,,,x
20170514 - a35hh - Perceptions of forest.mp3,,,x
20170628 - a31hh - Sense restraint - Ud 1.10.mp3,,,x
20170704 - a32hh -Sexuality and celibacy - AN 1.1.mp3,,,x
20170705 - a33hh - All the taints - MN 2.mp3,,,x
20170721 - a36hh - Master of thoughts - MN 19.mp3,,,x
20170723 - a37hh - The destroyer of growth - MN 75.mp3,,,x
20170727 - a38hh - Pain of the pleasures - SN 36.5.mp3,,,x
20170814 - a39hh - Samiddhisutta - SN 1.20.mp3,,,x
20170821 - a40hh - In and of space.mp3,,,x
20171122 - a41hh - Nature of consciousness.mp3,,,x
20171127 - a42hh - Discerning the situation.mp3,,,x
20171130 - a43hh - Clarifying experience.mp3,,,x
20171221 - a47hh - Origination of four foundations of mindfulness - SN 47.42.mp3,,,x
20171227 - a48hh - The simile of the cook - SN 47.8.mp3,,,x
20171230 - a49hh - The four noble persons - AN 4.87-90.mp3,,,x
20180202 - a50hh - Bases of power.mp3,,,x
20180207 - a51hh - Breathing towards death.mp3,,,x
20180225 - a52hh - Dhamma principles.mp3,,,x
20180403 - 01hh - Can love be a path to happiness.mp3,,,
20180403 - 02hh - Why is celibacy important.mp3,,,
20180403 - 03hh - How to overcome the attachments.mp3,,,
20180403 - 04hh - Do we live only once.mp3,,,
20180403 - 05hh - Purpose of rules and precepts.mp3,x,,
20180410 - 06hh - Why is generosity good.mp3,,,
20180413 - a53hh - Beyond good and evil.mp3,,,
20180417 - 24hh - What is a real blessing.mp3,,,
20180506 - 26hh - How to solve all problems.mp3,,,
20180509 - 25hh - Definition of a fault.mp3,,,
20180516 - 27hh - Dealing with insults.mp3,,,
20180525 - 29hh - What is wisdom.mp3,x,,
20180604 - 37hh - Loving-kindness meditation.mp3,,,
20180610 - hh - How to calm my mind.mp3,,,x
20180614 - 07hh - THE UNMISTAKEN WAY - Part 1 - Sense restraint - AN 3.16.mp3,,,
20180618 - 10hh - No one wants sensuality.mp3,x,,
20180624 - 08hh - THE UNMISTAKEN WAY - Part 2 - Intent on wakefulness - AN 3.16.mp3,,,
20180702 - 28hh - Sense of shame and fear of wrongdoing.mp3,x,,
20180710 - 09hh - THE UNMISTAKEN WAY - Part 3 - Moderation in eating - AN 3.16.mp3,,,
20180718 - 34hh - Socially engaged Buddhism.mp3,,,
20180724 - 12hh - Meditation on the unattractive - AN 5.69.mp3,,,
20180807 - 30hh - The four noble truths.mp3,x,,
20180813 - 33hh - The noble silence.mp3,,,
20180903 - 32hh - Restlessness of mind.mp3,,,
20180906 - 13hh - DISCUSSIONS FROM A MOUNTAIN TOP #1.mp3,,,
20180909 - 11hh - Satisfying all desires.mp3,,,x
20180913 - 14hh - DISCUSSIONS FROM A MOUNTAIN TOP #2.mp3,,,
20180920 - 15hh - DISCUSSIONS FROM A MOUNTAIN TOP #3.mp3,,,
20180924 - On Nanavira Thera - Notes on Dhamma - Part 1 - Preface.mp3,,,
20180924 - On Nanavira Thera - Notes on Dhamma - Part 4 - Dhamma.mp3,,,
20180927 - 16hh - DISCUSSIONS FROM A MOUNTAIN TOP #4.mp3,,,
20181001 - On Nanavira Thera - Notes on Dhamma - Part 2 - Atakkavacara.mp3,,,
